artist_name,listeners,tag
Andrea Bertolini,13692,tech house
Soundhack,20311,minimal
Soundhack,20311,techno
EJ,9019,minimal
EJ,9019,techno
elem,2527,minimal
elem,2527,techno
Baxendale,14305,minimal
Dirk Leyers,19643,minimal
John Tejada & Arian Leviste,15526,minimal
Robert Dietz,13808,minimal
Robert Dietz,13808,tech house
Melchior Productions,15878,minimal
Pana,4805,minimal
Sven Wegner,8786,deep house
Sven Wegner,8786,minimal
Sven Wegner,8786,techno
Holger Zilske,11812,minimal
Holger Zilske,11812,tech house
Ozy,10483,minimal
Karotte,17888,minimal
Karotte,17888,tech house
Anthony Collins,15776,minimal
Anthony Collins,15776,tech house
Joz,1793,minimal
CHPLN,10225,minimal
Dub Mentor,10674,minimal
Vid,4414,deep house
Vid,4414,minimal
Agaric,12800,minimal
Agaric,12800,techno
Agaric,12800,tech house
GummiHz,18566,minimal
GummiHz,18566,tech house
SQL,11393,minimal
Sante,7501,deep house
Sante,7501,minimal
Sante,7501,tech house
Okain,12230,deep house
Okain,12230,minimal
Okain,12230,tech house
Niederflur,8331,minimal
Gel Abril,17115,minimal
Gel Abril,17115,tech house
Pavel Petrov,8152,deep house
Pavel Petrov,8152,minimal
Pavel Petrov,8152,tech house
Strand,10089,minimal
Mikael Stavöstrand,15953,minimal
Mikael Stavöstrand,15953,tech house
Fabian Luttenberger,10166,minimal
Benno Blome,10470,minimal
Kevin Over,11562,minimal
Kevin Over,11562,techno
Kevin Over,11562,house
Tomas Jirku,7054,minimal
Dan Abrams,7262,minimal
Calli,3639,minimal
Calli,3639,techno
Jussi-Pekka,12592,minimal
Jussi-Pekka,12592,tech house
Click Box,8913,minimal
Click Box,8913,tech house
Exercise One,12280,minimal
Exercise One,12280,tech house
Steadycam,18604,minimal
Pablo Say,6711,minimal
Pablo Say,6711,techno
Pablo Say,6711,house
Pablo Say,6711,tech house
SLG,13015,minimal
SLG,13015,tech house
Patrice Baumel,12761,minimal
Patrice Baumel,12761,tech house
Little Fritter,8454,minimal
Little Fritter,8454,techno
Little Fritter,8454,tech house
Love Over Entropy,11112,minimal
Jennifer Cardini,8860,minimal
Baldo,7783,deep house
Baldo,7783,minimal
Baldo,7783,tech house
ThreeSixty,6717,minimal
ThreeSixty,6717,tech house
